TEST,11:,
CP(eps),79662,3.379
IP(eps),86666,3.1697
Spectral,71959,0.0088
Greedy(50),83130,1.1424
TEST,12:,
CP(eps),79266,3.3934
IP(eps),86441,3.3578
Spectral,73049,0.009
Greedy(50),85197,1.1447
TEST,13:,
CP(eps),78839,3.3831
IP(eps),85648,3.3201
Spectral,74849,0.0117
Greedy(50),83550,1.2196
TEST,14:,
CP(eps),77233,3.3947
IP(eps),85593,3.2571
Spectral,73051,0.0094
Greedy(50),82640,1.1742
TEST,15:,
CP(eps),77806,3.1054
IP(eps),83803,3.2464
Spectral,73827,0.0088
Greedy(50),82568,1.177
TEST,16:,
CP(eps),78016,3.3545
IP(eps),82851,3.3411
Spectral,71793,0.0081
Greedy(50),81067,1.1499
TEST,17:,
CP(eps),78236,3.3514
IP(eps),83430,3.2935
Spectral,72326,0.0125
Greedy(50),81581,1.1416
TEST,18:,
CP(eps),77414,3.5574
IP(eps),85962,3.1789
Spectral,72421,0.0094
Greedy(50),82824,1.2057
TEST,19:,
CP(eps),79052,3.2372
IP(eps),85453,3.2319
Spectral,74595,0.01
Greedy(50),82689,1.223
TEST,20:,
CP(eps),79401,3.4573
IP(eps),84576,3.264
Spectral,74143,0.015
Greedy(50),83540,1.1621
