TEST,1:,
CP(eps),1989,2.0332
IP(eps),2467,2.0152
Spectral,2387,0.0247
Greedy(50),5687,1.0951
GreedyKL,2151,0.0565
TEST,2:,
CP(eps),1849,2.0307
IP(eps),1964,2.0141
Spectral,1555,0.0078
Greedy(50),4863,1.0897
GreedyKL,2149,0.0563
TEST,3:,
CP(eps),2295,2.0325
IP(eps),2488,2.0131
Spectral,2418,0.0076
Greedy(50),5432,1.0982
GreedyKL,2375,0.0512
TEST,4:,
CP(eps),1811,2.0319
IP(eps),2191,2.0162
Spectral,12,0.0077
Greedy(50),5053,1.1166
GreedyKL,2304,0.052
TEST,5:,
CP(eps),1995,2.0308
IP(eps),2119,2.0145
Spectral,169,0.0068
Greedy(50),5376,1.1478
GreedyKL,2283,0.0459
TEST,6:,
CP(eps),1784,2.0325
IP(eps),1981,2.0148
Spectral,1138,0.008
Greedy(50),5143,1.1164
GreedyKL,2010,0.0414
TEST,7:,
CP(eps),2120,2.0309
IP(eps),2818,2.0161
Spectral,82,0.0071
Greedy(50),5427,1.102
GreedyKL,2634,0.0394
TEST,8:,
CP(eps),1784,2.0299
IP(eps),1782,2.0151
Spectral,1758,0.0078
Greedy(50),5163,1.1186
GreedyKL,2102,0.0511
TEST,9:,
CP(eps),2126,2.032
IP(eps),2400,2.0163
Spectral,2009,0.0072
Greedy(50),4981,1.1142
GreedyKL,2703,0.04
TEST,10:,
CP(eps),2074,2.032
IP(eps),2329,2.0159
Spectral,2061,0.0074
Greedy(50),5365,1.1087
GreedyKL,2464,0.0392
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
