TEST,1:,
CP(eps),49841,3.2283
IP(eps),54506,3.0962
Spectral,47785,0.0077
Greedy(50),54857,1.1451
GreedyKL,45783,0.0597
TEST,2:,
CP(eps),47764,3.1998
IP(eps),54016,3.0909
Spectral,45983,0.0067
Greedy(50),52770,1.1538
GreedyKL,44929,0.0556
TEST,3:,
CP(eps),48582,3.199
IP(eps),53854,3.089
Spectral,48384,0.0065
Greedy(50),54059,1.1526
GreedyKL,47163,0.0486
TEST,4:,
CP(eps),49195,3.2715
IP(eps),55394,3.0954
Spectral,44920,0.0092
Greedy(50),53232,1.2047
GreedyKL,46360,0.0425
TEST,5:,
CP(eps),48666,3.2014
IP(eps),53898,3.0951
Spectral,45041,0.0068
Greedy(50),52361,1.1523
GreedyKL,45027,0.0601
TEST,6:,
CP(eps),48760,3.2204
IP(eps),54040,3.1041
Spectral,44541,0.0067
Greedy(50),52534,1.1603
GreedyKL,45319,0.0518
TEST,7:,
CP(eps),48672,3.2003
IP(eps),55644,3.0924
Spectral,47775,0.0081
Greedy(50),54212,1.1275
GreedyKL,46630,0.0473
TEST,8:,
CP(eps),50127,3.2006
IP(eps),55313,3.096
Spectral,47375,0.0086
Greedy(50),53094,1.1655
GreedyKL,45765,0.0565
TEST,9:,
CP(eps),49487,3.2245
IP(eps),55837,3.0919
Spectral,46269,0.0077
Greedy(50),53254,1.1574
GreedyKL,45894,0.0458
TEST,10:,
CP(eps),50858,3.2186
IP(eps),55567,3.1002
Spectral,47420,0.0066
Greedy(50),53877,1.1472
GreedyKL,47378,0.0475
