TEST,1:,
Backtracking(alpha),515,0.0826
CP(alpha),515,0.0327
IP(alpha),515,0.0795
Backtracking(eps),490,0.0414
CP(eps),490,0.0244
IP(eps),490,0.0449
Spectral,515,0.005
Greedy(500),646,0.1089
Greedy(1000),515,0.2121
GreedyKL,515,0.0004
TEST,2:,
Backtracking(alpha),544,0.0574
CP(alpha),544,0.0372
IP(alpha),544,0.0869
Backtracking(eps),486,0.0279
CP(eps),486,0.0288
IP(eps),486,0.1005
Spectral,296,0.0043
Greedy(500),616,0.1093
Greedy(1000),544,0.2118
GreedyKL,560,0.0005
TEST,3:,
Backtracking(alpha),459,0.0359
CP(alpha),459,0.0229
IP(alpha),459,0.0999
Backtracking(eps),405,0.025
CP(eps),405,0.0176
IP(eps),405,0.044
Spectral,405,0.0051
Greedy(500),625,0.108
Greedy(1000),541,0.2099
GreedyKL,459,0.0004
TEST,4:,
Backtracking(alpha),604,0.0842
CP(alpha),604,0.0286
IP(alpha),604,0.0826
Backtracking(eps),463,0.0429
CP(eps),463,0.0158
IP(eps),463,0.0649
Spectral,176,0.0048
Greedy(500),604,0.1104
Greedy(1000),633,0.2158
GreedyKL,618,0.0004
TEST,5:,
Backtracking(alpha),675,0.1365
CP(alpha),675,0.048
IP(alpha),675,0.1212
Backtracking(eps),664,0.0937
CP(eps),664,0.0519
IP(eps),664,0.0984
Spectral,722,0.0047
Greedy(500),794,0.1088
Greedy(1000),787,0.2152
GreedyKL,725,0.0004
TEST,6:,
Backtracking(alpha),570,0.0816
CP(alpha),570,0.0198
IP(alpha),570,0.0927
Backtracking(eps),428,0.0383
CP(eps),428,0.0135
IP(eps),428,0.0673
Spectral,340,0.0051
Greedy(500),671,0.1078
Greedy(1000),650,0.2109
GreedyKL,570,0.0005
TEST,7:,
Backtracking(alpha),537,0.0808
CP(alpha),537,0.0391
IP(alpha),537,0.1242
Backtracking(eps),495,0.0386
CP(eps),495,0.03
IP(eps),495,0.0824
Spectral,543,0.0042
Greedy(500),669,0.1081
Greedy(1000),549,0.2124
GreedyKL,537,0.0007
TEST,8:,
Backtracking(alpha),471,0.0456
CP(alpha),471,0.0188
IP(alpha),471,0.0647
Backtracking(eps),430,0.0219
CP(eps),430,0.0142
IP(eps),430,0.067
Spectral,430,0.0047
Greedy(500),677,0.1107
Greedy(1000),657,0.2143
GreedyKL,471,0.0004
TEST,9:,
Backtracking(alpha),593,0.052
CP(alpha),593,0.0318
IP(alpha),593,0.0891
Backtracking(eps),488,0.0318
CP(eps),488,0.0119
IP(eps),488,0.0702
Spectral,592,0.0044
Greedy(500),642,0.1096
Greedy(1000),719,0.2115
GreedyKL,593,0.0005
TEST,10:,
Backtracking(alpha),613,0.08
CP(alpha),613,0.0389
IP(alpha),613,0.1074
Backtracking(eps),522,0.0372
CP(eps),522,0.0366
IP(eps),522,0.089
Spectral,654,0.0053
Greedy(500),757,0.1083
Greedy(1000),687,0.2113
GreedyKL,613,0.0004
TEST,11:,
Backtracking(alpha),632,0.07
CP(alpha),632,0.0217
IP(alpha),632,0.1222
Backtracking(eps),572,0.0417
CP(eps),572,0.0196
IP(eps),572,0.0911
Spectral,624,0.0042
Greedy(500),698,0.107
Greedy(1000),698,0.2104
GreedyKL,698,0.0005
TEST,12:,
Backtracking(alpha),750,0.0685
CP(alpha),750,0.037
IP(alpha),750,0.1077
Backtracking(eps),686,0.0382
CP(eps),686,0.0458
IP(eps),686,0.1121
Spectral,816,0.0065
Greedy(500),850,0.1106
Greedy(1000),869,0.2331
GreedyKL,793,0.0005
TEST,13:,
Backtracking(alpha),637,0.064
CP(alpha),637,0.0427
IP(alpha),637,0.1001
Backtracking(eps),566,0.0379
CP(eps),566,0.0213
IP(eps),566,0.1088
Spectral,540,0.0051
Greedy(500),790,0.1101
Greedy(1000),637,0.2177
GreedyKL,650,0.0004
TEST,14:,
Backtracking(alpha),676,0.2943
CP(alpha),676,0.0455
IP(alpha),676,0.0771
Backtracking(eps),611,0.2125
CP(eps),611,0.0311
IP(eps),611,0.0745
Spectral,421,0.0044
Greedy(500),735,0.1086
Greedy(1000),676,0.213
GreedyKL,676,0.0005
TEST,15:,
Backtracking(alpha),445,0.0743
CP(alpha),445,0.0167
IP(alpha),445,0.0641
Backtracking(eps),439,0.0355
CP(eps),439,0.0164
IP(eps),439,0.0527
Spectral,457,0.0044
Greedy(500),565,0.1094
Greedy(1000),562,0.2118
GreedyKL,445,0.0004
TEST,16:,
Backtracking(alpha),548,0.0443
CP(alpha),548,0.0295
IP(alpha),548,0.1081
Backtracking(eps),514,0.0181
CP(eps),514,0.0214
IP(eps),514,0.0563
Spectral,218,0.0039
Greedy(500),617,0.1086
Greedy(1000),609,0.2106
GreedyKL,623,0.0004
TEST,17:,
Backtracking(alpha),618,0.11
CP(alpha),618,0.0311
IP(alpha),618,0.1204
Backtracking(eps),561,0.062
CP(eps),561,0.0266
IP(eps),561,0.1027
Spectral,141,0.0039
Greedy(500),718,0.1085
Greedy(1000),618,0.2121
GreedyKL,618,0.0006
TEST,18:,
Backtracking(alpha),657,0.0795
CP(alpha),657,0.0458
IP(alpha),657,0.0962
Backtracking(eps),620,0.0525
CP(eps),620,0.041
IP(eps),620,0.1051
Spectral,632,0.0043
Greedy(500),780,0.1081
Greedy(1000),778,0.2113
GreedyKL,657,0.0004
TEST,19:,
Backtracking(alpha),537,0.0522
CP(alpha),537,0.0228
IP(alpha),537,0.0974
Backtracking(eps),509,0.0294
CP(eps),509,0.0216
IP(eps),509,0.072
Spectral,558,0.005
Greedy(500),537,0.1091
Greedy(1000),659,0.2116
GreedyKL,537,0.0005
